City,AQI,pm2.5/1h,pm10/1h,co/1h,co2/1h,o3/1h,o3/8h,so2/1h
阿坝州,33,5,10,0.8,4,92,64,7
阿克苏地区,55,17,29,0.45,3,123,104,5
阿拉善盟,71,27,43,0.7,7,150,124,6
阿勒泰地区,36,15,12,0.2,17,80,71,4
阿里地区,66,1,14,0.4,4,133,117,5
安康,73,25,49,0.5,13,104,126,15
安庆,57,27,56,0.48,10,124,107,7
鞍山,44,11,43,0.54,11,101,87,7
安顺,15,7,10,0.68,15,37,28,4
安阳,57,27,58,0.38,9,132,107,8
白城,58,6,14,0.15,5,116,108,4
百色,35,10,34,0.95,16,39,31,19
白山,43,8,23,0.5,7,107,85,6
白银,54,9,10,0.65,18,96,103,8
保定,56,11,40,0.22,10,129,106,5
宝鸡,41,19,35,0.56,26,82,81,5
保山,56,14,29,0.35,7,116,105,4
包头,54,9,38,0.34,11,119,103,7
巴彦淖尔,51,15,41,0.7,8,120,100,10
巴中,48,7,11,0.6,12,96,94,4
北海,66,47,74,0.9,18,33,30,6
北京,46,15,23,0.23,9,110,90,2
蚌埠,58,14,64,0.27,10,105,94,6
本溪,42,10,33,0.43,10,105,83,8
毕节,20,14,19,0.6,15,44,31,6
滨州,64,15,59,0.55,18,142,115,10
博州,49,10,27,0.35,5,121,97,4
亳州,58,9,64,0.35,8,126,105,10
沧州,52,23,39,0.43,9,126,101,12
长春,42,7,25,0.33,12,92,83,3
常德,54,33,55,0.82,14,90,88,7
昌都,56,6,33,0.3,7,119,106,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,41,13,23,0.57,9,104,81,7
长沙,49,34,41,0.75,26,72,68,8
常熟,47,7,26,0.35,11,97,92,10
长治,73,18,54,0.8,12,139,126,8
常州,39,18,38,0.59,30,90,73,9
朝阳,55,8,28,0.45,5,110,104,5
潮州,36,4,8,0.63,4,87,70,7
承德,48,6,34,0.26,5,106,94,8
成都,28,9,17,0.63,18,62,54,4
郴州,29,8,15,0.6,15,58,57,4
赤峰,49,5,22,0.28,13,101,97,8
池州,61,26,65,0.57,28,134,111,6
重庆,30,17,29,0.66,25,46,41,5
崇左,23,11,22,0.85,15,26,22,2
楚雄州,55,12,35,0.45,5,126,104,10
滁州,64,33,76,0.4,16,118,108,11
大连,51,17,50,0.41,14,108,91,8
大理州,49,10,33,0.5,8,117,97,5
丹东,44,12,40,0.53,14,101,86,14
大庆,42,8,20,0.32,8,93,82,3
大同,53,5,21,0.87,10,118,102,13
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,49,4,15,0.35,6,102,97,5
达州,34,21,33,0.57,35,63,59,8
德宏州,44,11,43,0.55,7,117,80,4
德阳,29,5,8,0.38,11,73,56,2
德州,65,6,47,0.2,6,125,116,2
定西,81,5,9,0.45,6,131,135,3
迪庆州,68,7,25,0.2,5,122,120,6
东莞,25,9,17,0.66,26,59,48,9
东营,61,10,43,0.17,6,129,112,6
鄂尔多斯,73,21,94,0.58,16,125,104,9
恩施州,35,17,32,0.7,35,58,69,2
鄂州,50,23,49,0.37,14,117,91,6
防城港,46,21,45,0.8,13,36,25,4
佛山,24,12,23,0.81,44,25,21,3
抚顺,44,7,19,0.27,7,106,86,8
阜新,49,10,44,0.24,4,104,97,5
阜阳,52,12,51,0.3,24,111,99,5
富阳,0,0,0,0.0,0,0,0,0
福州,51,14,28,0.35,4,115,100,5
抚州,56,39,58,0.88,11,83,63,10
甘南州,43,7,0,0.8,12,86,84,3
赣州,39,8,18,1.16,12,80,77,3
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,34,8,14,0.35,20,77,66,18
广安,36,6,16,0.42,10,88,70,4
广元,35,5,8,0.63,23,70,69,8
广州,17,5,8,0.73,28,45,33,4
贵港,24,10,21,0.7,16,50,46,13
桂林,33,6,14,0.7,10,83,64,6
贵阳,20,9,19,0.53,14,50,38,5
果洛州,31,19,0,0.9,16,59,60,21
固原,74,6,11,0.9,14,113,127,10
哈尔滨,44,12,32,0.38,12,86,86,8
海北州,71,16,0,0.9,12,150,123,14
海东地区,46,12,13,0.6,15,103,91,6
海口,34,19,33,0.66,10,68,60,4
海门,39,17,38,0.5,12,69,72,10
海南州,55,9,16,0.9,13,112,104,10
海西州,50,17,46,0.5,12,102,98,8
哈密地区,30,21,22,0.85,11,63,48,1
邯郸,61,32,51,0.3,12,137,112,6
杭州,62,21,55,0.51,24,135,113,8
汉中,76,20,27,0.68,6,154,130,4
鹤壁,54,10,41,0.1,7,130,103,7
